ID,Name,Elo
0,Liberty,326.0046509133069
1,Randolph Col,392.0
2,Valparaiso,592.8750067458927
3,ETSU,401.6241096511309
4,Texas Tech,450.90226318827825
5,Loyola MD,350.4682918492951
6,Kansas St,403.05089147942186
7,Southern Utah,263.90838413592445
8,Loyola-Chicago,434.7030573417727
9,Rockhurst,377.2812403165962
10,NC A&T,313.91089105684244
11,Greensboro,375.90000698733866
12,Norfolk St,429.841891453552
13,Pfeiffer,384.18417425948473
14,Missouri St,345.25890872116355
15,E Illinois,419.0316438716961
16,Alabama St,436.70651014981837
17,Auburn M'gomery,383.9155239207032
18,Michigan St,492.53001531563217
19,Navy,394.72643588982055
20,Louisiana Tech,518.5507413458104
21,Southern Univ,408.4566235250897
22,Missouri KC,370.4191379130567
23,Missouri,319.162451512332
24,Incarnate Word,455.8562345406393
25,UT Tyler,392.0
26,Illinois,422.08808229307
27,Ga Southern,474.32344442654227
28,Wisconsin,574.7732519314752
29,N Kentucky,376.81434394150045
30,Notre Dame,561.1480475552712
31,Binghamton,259.50763846404493
32,Loy Marymount,317.98972346787343
33,SE Missouri St,377.6039645290525
34,Lipscomb,348.6787954474078
35,Berry,392.0
36,Creighton,424.8456874820503
37,Cent Arkansas,255.25162444617126
38,Col Charleston,311.749374100944
39,Furman,400.2022685974464
40,UT San Antonio,385.68590174576326
41,Huston-Tillot,363.53973612925176
42,TX Pan American,324.3090179057062
43,Wayland,384.3469207506078
44,Colorado,485.1587525841852
45,Drexel,288.62881981012333
46,Arizona,608.9220883181847
47,Mt St Mary's,398.7219453872501
48,Kentucky,636.3019699432946
49,Grand Canyon,506.89069305509764
50,North Carolina,611.9098862335758
51,NC Central,492.94870472728286
52,Akron,535.7734969991221
53,UMBC,264.9918703879492
54,Stetson,307.0980855392912
55,Edward Waters,378.63779107833517
56,Hofstra,514.3176048191679
57,Jacksonville,356.23212057998484
58,Georgia St,505.96419413930687
59,TN Temple,392.0
60,TAM C. Christi,444.51594462206214
61,Our Lady Lake,383.45239701490715
62,SF Austin,558.7580277852355
63,Mississippi Col,392.0
64,Tennessee St,275.1007871290378
65,Reinhardt,358.9513527789569
66,Edwardsville,381.7141772211998
67,Harris-Stowe,359.6560387633068
68,Abilene Chr,326.2792030028876
69,Hillsdale Bap,384.0
70,ULL,440.85950622997706
71,Louisiana Col,368.4113172785573
72,Troy,281.1231086529972
73,Brewton-Parker,392.0
74,Texas A&M,555.2243367696348
75,Northwestern LA,448.0157229923472
76,Northwestern,446.5780075016808
77,Houston Bap,376.79353132290015
78,Alabama,468.80758157970297
79,Towson,418.3813379744577
80,St Mary's CA,468.89843341859637
81,Cal St-LA,392.0
82,Auburn,356.8153697370027
83,WI Milwaukee,401.01008022110426
84,Stanford,448.02749773506446
85,Wofford,458.4967269179388
86,UCLA,442.85250907789367
87,Montana St,307.4091343102642
88,UC Irvine,464.5870439916144
89,Chapman,384.6940292473522
90,San Diego St,514.3856646746282
91,CS Northridge,322.2064980157657
92,UNLV,421.0435615418059
93,Morehead St,412.8058542980623
94,Santa Clara,355.03419824498764
95,CS Fullerton,315.84692251630514
96,Washington,450.5255338547333
97,S Carolina St,329.9558687465482
98,Oregon,618.7712592175056
99,Coppin St,319.16346574388336
100,Sacred Heart,358.65534829181456
101,Hartford,312.11555578980926
102,Villanova,657.5686931994143
103,Lehigh,438.5798702581408
104,Tennessee Tech,419.9453538065428
105,Piedmont Bap,384.36815339676104
106,High Point,496.4643148251033
107,CS Bakersfield,375.5591776857363
108,San Jose St,250.9649855464472
109,Bethesda,382.1383314859655
110,Boise St,508.5312434633833
111,San Diego,336.7836159870857
112,Hawaii,552.7418349474792
113,Ark Pine Bluff,352.79959355753243
114,Fordham,400.6905511229333
115,NYIT,392.0
116,Louisville,569.1075218334902
117,Minnesota,333.6043561595132
118,UTEP,471.64770423698616
119,Washington St,381.84477489468765
120,SMU,539.2147237721067
121,Lamar,334.29204715744265
122,Baylor,538.6603859271953
123,McNeese St,391.8560195964891
124,Iowa,515.4607497463587
125,Hampton,461.41581722303687
126,Marquette,446.5018300088783
127,TN Martin,430.6849400895378
